file_name,cwe,line
newcastle-online.org.js,CWE-134,227
newrecruit.eu.js,CWE-134,87
newrecruit.eu.js,CWE-134,168
nissanklub.pl.js,CWE-134,227
noiz.gr.js,CWE-134,227
noresk.com.js,CWE-134,227
nsaneforums.com.js,CWE-134,227
nyctransitforums.com.js,CWE-134,227
nzbnewzfrance.ninja.js,CWE-134,227
odforce.net.js,CWE-134,227
oktja.ru.js,CWE-134,227
oldschool.co.nz.js,CWE-134,227
oly-forum.com.js,CWE-134,227
olympus-entertainment.com.js,CWE-134,227
one-dns.ru.js,CWE-134,227
ontexasfootball.com.js,CWE-134,227
opel-insignia.su.js,CWE-134,245
opencartforum.com.js,CWE-134,227
oratoryforums.com.js,CWE-134,227
otib.co.uk.js,CWE-134,227
overflix.bar.js,CWE-134,227
overflix.chat.js,CWE-134,227
overflix.li.js,CWE-134,227
overflixtv.co.js,CWE-134,227
owtb.co.uk.js,CWE-134,227
parapsihopatologija.com.js,CWE-134,227
pb-evo.com.js,CWE-134,227
personalfn.com.js,CWE-134,178
pfmrc.eu.js,CWE-134,227
photo.net.js,CWE-134,227
pinpics.com.js,CWE-134,227
pirateclub.hu.js,CWE-134,227
pnevmopodveska-club.ru.js,CWE-134,227
pobreflixtv.info.js,CWE-134,227
politisti.ro.js,CWE-134,227
pomsinoz.com.js,CWE-134,227
popa911.com.js,CWE-134,227
projectpokemon.org.js,CWE-134,227
psxextreme.info.js,CWE-134,227
rathena.org.js,CWE-134,227
ratsun.net.js,CWE-134,227
rebornevo.com.js,CWE-134,227
recursosteocraticos.com.js,CWE-134,227
redecanaishd.pro.js,CWE-134,227
rllmukforum.com.js,CWE-134,227
rmweb.co.uk.js,CWE-134,227
rusknife.com.js,CWE-134,227
rustez.com.js,CWE-134,227
saesrpg.uk.js,CWE-134,227
saintsweb.co.uk.js,CWE-134,227
sammler.ru.js,CWE-134,227
sarg.lt.js,CWE-134,227
sat-4-all.com.js,CWE-134,227
sau.com.au.js,CWE-134,227
scienceforums.net.js,CWE-134,227
scouter.com.js,CWE-134,227
sectorvip.cl.js,CWE-134,227
setxsports.com.js,CWE-134,227
shipfriends.gr.js,CWE-134,227
sneezefetishforum.com.js,CWE-134,227
sonicstadium.org.js,CWE-134,227
soul-source.co.uk.js,CWE-134,227
soxtalk.com.js,CWE-134,227
squid-board.org.js,CWE-134,227
sstmlt.com.js,CWE-134,227
stargazerslounge.com.js,CWE-134,227
stockboxx.top.js,CWE-134,227
strategium.ru.js,CWE-134,227
stripersonline.com.js,CWE-134,227
survivetheark.com.js,CWE-134,227
sykkel.org.js,CWE-134,227
systemkamera-forum.de.js,CWE-134,227
taraji.net.js,CWE-134,227
techinferno.com.js,CWE-134,227
tga.community.js,CWE-134,227
theblackvault.net.js,CWE-134,227
thecandidzone.com.js,CWE-134,227
thedarkblues.co.uk.js,CWE-134,227
theforum365.com.js,CWE-134,227
thefossilforum.com.js,CWE-134,227
theindiestone.com.js,CWE-134,227
themalibucrew.com.js,CWE-134,227
theshedend.com.js,CWE-134,227
thesilverforum.com.js,CWE-134,227
timetriallingforum.co.uk.js,CWE-134,227
titansreport.com.js,CWE-134,227
topdeck.ru.js,CWE-134,242
totallympics.com.js,CWE-134,227
toyotaownersclub.com.js,CWE-134,227
turfnet.com.js,CWE-134,227
typografie.info.js,CWE-134,227
typography.guru.js,CWE-134,227
