file_name,cwe,line
silatehilim.com.js,CWE-20,19
sidrastart.com.js,CWE-20,96
siasat.pk.js,CWE-20,37
shurmanos.com.js,CWE-20,37
shriramlife.in.js,CWE-20,1261
shriramlife.com.js,CWE-20,1261
shrimperzone.com.js,CWE-20,37
shoppingtelly.com.js,CWE-20,6
shohoz.com.js,CWE-20,1258
shipsofscale.com.js,CWE-20,37
shippersedge.com.js,CWE-20,413
shib.io.js,CWE-20,6
sharewood.ws.js,CWE-20,37
sharewood.cc.js,CWE-20,37
sharewood.biz.js,CWE-20,37
shackelfordfuneraldirectors.com.js,CWE-20,413
sgmy123.com.js,CWE-20,50
sffchronicles.com.js,CWE-20,37
sexforos.com.js,CWE-20,37
settleup.app.js,CWE-20,1261
serviceacademyforums.com.js,CWE-20,37
serebiiforums.com.js,CWE-20,37
serbianforum.org.js,CWE-20,37
sequencer.de.js,CWE-20,37
sentinelone.net.js,CWE-20,1246
seniorforums.com.js,CWE-20,37
sendasmile.de.js,CWE-20,63
sendasmile.de.js,CWE-20,13
semprot.com.js,CWE-20,37
semarentrega.com.br.js,CWE-20,1912
selina.com.js,CWE-20,7
secretprojects.co.uk.js,CWE-20,37
secondlifestorage.com.js,CWE-20,37
seatcupra.net.js,CWE-20,6
seat-leon.de.js,CWE-20,37
seadooforum.com.js,CWE-20,37
screwfix.fr.js,CWE-20,30
scoalarutiera.ro.js,CWE-20,10
sciforums.com.js,CWE-20,37
schoolrp.net.js,CWE-20,37
schoolhouse.world.js,CWE-20,42
schemehub.in.js,CWE-20,99
sbravo.com.js,CWE-20,413
savaari.com.js,CWE-20,1239
saudirailways.org.js,CWE-20,99
sat-universe.com.js,CWE-20,37
sat-expert.com.js,CWE-20,37
sasolrewards.co.za.js,CWE-20,1261
sarkarizone.org.js,CWE-20,99
sarkariupdates360.com.js,CWE-20,99
